League,Country,LeagueSlug,WikipediaTitle,Level,RawLevel,Status,Aliases
British Columbia Premier League,Canada,British_Columbia_Premier_League,British Columbia Premier League,3,[[Canadian soccer league system|3]],ok,
Alberta Premier League,Canada,Alberta_Premier_League,Alberta Premier League,3,[[Canadian soccer league system|3]],ok,
Canadian Premier League,Canada,Canadian_Premier_League,Canadian Premier League,1,[[Canadian soccer league system|1]],ok,
Eastern Premier Soccer League,United States,Eastern_Premier_Soccer_League,American Premier Soccer League,5,"manual: regional amateur, outside sanctioned pyramid (~Level 5)",manual,
Oberliga Schleswig-Holstein,Germany,Oberliga_Schleswig-Holstein,Oberliga Schleswig-Holstein,5,[[German football league system|Level 5]],ok,
North American Soccer League (2011–2017),United States,North_American_Soccer_League_(2011%E2%80%932017),North American Soccer League (2011–2017),2,[[United States soccer league system|2]],ok,NASL
Canadian Soccer League,Canada,Canadian_Soccer_League,Canadian Soccer League,3,"manual: unsanctioned semi-pro, ~Level 3 (outside official pyramid)",manual,
Maltese Premier League,Malta,Maltese_Premier_League,Maltese Premier League,1,1,ok,
Maltese Challenge League,Malta,Maltese_Challenge_League,Maltese Challenge League,2,2,ok,
Esiliiga,Estonia,Esiliiga,Esiliiga,2,2,ok,
Meistriliiga,Estonia,Meistriliiga,Meistriliiga,1,1,ok,
Beja FA,Portugal,Beja_Football_Association,Beja Football Association,5,manual: Beja FA first division = district Level 5,manual,
Regional Preferente,Spain,Regional_Preferente_de_La_Rioja,Divisiones Regionales de Fútbol in La Rioja,6,6,ok,
1. Liga Classic,Switzerland,1._Liga_Classic,1. Liga Classic,4,4,ok,
Campeonato Paulista Segunda Divisão,Brazil,Campeonato_Paulista_Segunda_Divis%C3%A3o,Campeonato Paulista Segunda Divisão,5,5,ok,
Campeonato Paulista Série A2,Brazil,Campeonato_Paulista_S%C3%A9rie_A2,Campeonato Paulista Série A2,2,2,ok,
Campeonato Brasileiro Série D,Brazil,Campeonato_Brasileiro_S%C3%A9rie_D,Campeonato Brasileiro Série D,4,[[Brazilian football league system|4]],ok,
Campeonato Brasileiro Série C,Brazil,Campeonato_Brasileiro_S%C3%A9rie_C,Campeonato Brasileiro Série C,3,[[Brazilian football league system|3]],ok,
Portuguese Second Division,Portugal,Portuguese_Second_Division,Segunda Divisão,2,[[Portuguese football league system|2]] (1934–1990)<br />[[Portuguese football league system|3]] (1990–2013),ok,
Second League,Bulgaria,Second_Professional_Football_League_(Bulgaria),Second Professional Football League (Bulgaria),2,2,ok,
United Premier Soccer League,United States,United_Premier_Soccer_League,United Premier Soccer League,5,"manual: amateur/semi-pro, outside sanctioned pyramid (~Level 5)",manual,
Segunda División Profesional de Chile,Chile,Segunda_Divisi%C3%B3n_Profesional_de_Chile,Segunda División Profesional de Chile,3,3,ok,Segunda División Profesional
Primera B,Chile,Primera_B_de_Chile,Campeonato Nacional Primera B,2,2,ok,
Indian Super League,India,Indian_Super_League,Indian Super League,1,[[Indian football league system#Men's|1]],ok,
Oberliga Rheinland-Pfalz/Saar,Germany,Oberliga_Rheinland-Pfalz/Saar,Oberliga Rheinland-Pfalz/Saar,5,[[German football league system|Level 5]],ok,
Second Division,Cyprus,Cypriot_Second_Division,Cypriot Second Division,2,2,ok,
Virslīga,Latvia,Latvian_Higher_League,Latvian Higher League,1,1,ok,
II liiga,Estonia,II_liiga,II liiga,4,4,ok,
Erovnuli Liga,Georgia,Erovnuli_Liga,Erovnuli Liga,1,1,ok,
Amateur National,Morocco,Amateur_National,Amateur National,3,3–5,ok,Amateurs I
Régional 2,France,French_football_league_system#Regional_leagues,French football league system,7,manual: French football league system: Level 7,manual,
Botola Pro 2,Morocco,Botola_Pro_2,Botola Pro D2,2,2,ok,
Oberliga Westfalen,Germany,Oberliga_Westfalen,Oberliga Westfalen,5,[[German football league system|Level 5]],ok,
Football Queensland Premier League,Australia,Football_Queensland_Premier_League,Football Queensland Premier League,3,corrected: state league directly below NPL (national tier 3),corrected,FQPL
FQLD 3 – South Coast,Australia,Football_Queensland_Premier_League_3_%E2%88%92_South_Coast,Football Queensland Premier League 3 – South Coast,4,corrected: Queensland regional level below FQPL,corrected,FQPL 3 − South Coast
Midland League,England,Midland_Football_League,Midland Football League,9,[[English football league system|Levels 9–11]] (Premier Division; Division One; Division Two),ok,
West of Scotland League Second Division,Scotland,West_of_Scotland_Football_League#Second_Division,West of Scotland Football League,6,6–10,ok,
Lowland League West,Scotland,Lowland_Football_League#Lowland_League_West,Lowland Football League,5,5,ok,
National League South,England,National_League_South,National League South,6,6<br> Step 2 ([[National League System]]),ok,
Southern League,England,Southern_Football_League,Southern Football League,7,[[English football league system|Levels 7–8]],ok,Southern Football League
Lowland League East,Scotland,Lowland_Football_League#Lowland_League_East,Lowland Football League,5,5,ok,
